year,group,age,rate
1982,85 years and over,85 years and over,17.6
1983,85 years and over,85 years and over,19.4
1984,85 years and over,85 years and over,18.6
1985,85 years and over,85 years and over,19.4
1986,85 years and over,85 years and over,21.1
1987,85 years and over,85 years and over,22.5
1988,85 years and over,85 years and over,21.0
1989,85 years and over,85 years and over,23.4
1990,85 years and over,85 years and over,22.2
1991,85 years and over,85 years and over,23.8
1992,85 years and over,85 years and over,21.5
1993,85 years and over,85 years and over,22.6
1994,85 years and over,85 years and over,22.8
1995,85 years and over,85 years and over,21.3
1996,85 years and over,85 years and over,20.0
1997,85 years and over,85 years and over,20.6
1998,85 years and over,85 years and over,21.1
1999,85 years and over,85 years and over,19.3
2000,85 years and over,85 years and over,19.6
2001,85 years and over,85 years and over,17.8
2002,85 years and over,85 years and over,18.9
2003,85 years and over,85 years and over,17.9
2004,85 years and over,85 years and over,17.6
2005,85 years and over,85 years and over,18.3
2006,85 years and over,85 years and over,17.3
2007,85 years and over,85 years and over,17.0
2008,85 years and over,85 years and over,16.4
2009,85 years and over,85 years and over,16.4
2010,85 years and over,85 years and over,17.6
2011,85 years and over,85 years and over,16.9
2012,85 years and over,85 years and over,17.8
2013,85 years and over,85 years and over,18.6
2014,85 years and over,85 years and over,19.3
2015,85 years and over,85 years and over,19.4
2016,85 years and over,85 years and over,19.0
2017,85 years and over,85 years and over,20.1
2018,85 years and over,85 years and over,19.1
1950,Male,All ages,17.8
1960,Male,All ages,16.5
1970,Male,All ages,16.8
1980,Male,All ages,18.6
1981,Male,All ages,18.7
1982,Male,All ages,19.2
1983,Male,All ages,19.2
1984,Male,All ages,19.8
1985,Male,All ages,20.0
1986,Male,All ages,20.7
1987,Male,All ages,20.6
1988,Male,All ages,20.2
1989,Male,All ages,20.0
1990,Male,All ages,20.4
1991,Male,All ages,20.1
1992,Male,All ages,19.5
1993,Male,All ages,19.7
1994,Male,All ages,19.6
1995,Male,All ages,19.5
1996,Male,All ages,19.0
1997,Male,All ages,18.3
1998,Male,All ages,18.2
1999,Male,All ages,17.1
2000,Male,All ages,17.1
2001,Male,All ages,17.6
2002,Male,All ages,18.0
2003,Male,All ages,17.7
2004,Male,All ages,17.8
2005,Male,All ages,17.8
2006,Male,All ages,17.9
2007,Male,All ages,18.4
2008,Male,All ages,19.0
2009,Male,All ages,19.3
2010,Male,All ages,19.9
2011,Male,All ages,20.2
2012,Male,All ages,20.6
2013,Male,All ages,20.6
2014,Male,All ages,21.1
2015,Male,All ages,21.5
2016,Male,All ages,21.8
2017,Male,All ages,22.9
2018,Male,All ages,23.4
1950,Female,All ages,5.1
1960,Female,All ages,4.9
1970,Female,All ages,6.6
1980,Female,All ages,5.5
1981,Female,All ages,5.8
1982,Female,All ages,5.6
1983,Female,All ages,5.4
1984,Female,All ages,5.4
1985,Female,All ages,5.2
1986,Female,All ages,5.4
1987,Female,All ages,5.2
1988,Female,All ages,5.0
1989,Female,All ages,4.8
1990,Female,All ages,4.8
1991,Female,All ages,4.7
1992,Female,All ages,4.6
1993,Female,All ages,4.6
1994,Female,All ages,4.4
1995,Female,All ages,4.3
1996,Female,All ages,4.3
1997,Female,All ages,4.3
1998,Female,All ages,4.3
1999,Female,All ages,4.0
2000,Female,All ages,4.0
2001,Female,All ages,4.1
2002,Female,All ages,4.3
2003,Female,All ages,4.3
2004,Female,All ages,4.6
2005,Female,All ages,4.5
2006,Female,All ages,4.6
2007,Female,All ages,4.8
2008,Female,All ages,4.9
2009,Female,All ages,5.0
2010,Female,All ages,5.2
2011,Female,All ages,5.4
2012,Female,All ages,5.5
2013,Female,All ages,5.7
2014,Female,All ages,6.0
2015,Female,All ages,6.2
2016,Female,All ages,6.2
2017,Female,All ages,6.3
2018,Female,All ages,6.4
1950,Male: 10-14 years,10-14 years,0.5
1960,Male: 10-14 years,10-14 years,0.9
1970,Male: 10-14 years,10-14 years,0.9
1980,Male: 10-14 years,10-14 years,1.2
1981,Male: 10-14 years,10-14 years,1.2
1982,Male: 10-14 years,10-14 years,1.7
1983,Male: 10-14 years,10-14 years,1.6
1984,Male: 10-14 years,10-14 years,1.9
1985,Male: 10-14 years,10-14 years,2.3
1986,Male: 10-14 years,10-14 years,2.3
1987,Male: 10-14 years,10-14 years,2.4
1988,Male: 10-14 years,10-14 years,2.1
1989,Male: 10-14 years,10-14 years,2.1
1990,Male: 10-14 years,10-14 years,2.2
1991,Male: 10-14 years,10-14 years,2.3
1992,Male: 10-14 years,10-14 years,2.4
1993,Male: 10-14 years,10-14 years,2.4
1994,Male: 10-14 years,10-14 years,2.4
1995,Male: 10-14 years,10-14 years,2.6
1996,Male: 10-14 years,10-14 years,2.2
1997,Male: 10-14 years,10-14 years,2.3
1998,Male: 10-14 years,10-14 years,2.3
1999,Male: 10-14 years,10-14 years,1.9
2000,Male: 10-14 years,10-14 years,2.3
2001,Male: 10-14 years,10-14 years,1.9
2002,Male: 10-14 years,10-14 years,1.8
2003,Male: 10-14 years,10-14 years,1.7
2004,Male: 10-14 years,10-14 years,1.7
2005,Male: 10-14 years,10-14 years,1.9
2006,Male: 10-14 years,10-14 years,1.4
2007,Male: 10-14 years,10-14 years,1.2
2008,Male: 10-14 years,10-14 years,1.4
2009,Male: 10-14 years,10-14 years,1.6
2010,Male: 10-14 years,10-14 years,1.7
2011,Male: 10-14 years,10-14 years,1.9
2012,Male: 10-14 years,10-14 years,2.1
2013,Male: 10-14 years,10-14 years,2.3
2014,Male: 10-14 years,10-14 years,2.6
2015,Male: 10-14 years,10-14 years,2.4
2016,Male: 10-14 years,10-14 years,2.5
2017,Male: 10-14 years,10-14 years,3.3
2018,Male: 10-14 years,10-14 years,3.7
1950,Male: 15-24 years,15-24 years,6.5
1960,Male: 15-24 years,15-24 years,8.2
1970,Male: 15-24 years,15-24 years,13.5
1980,Male: 15-24 years,15-24 years,20.2
1981,Male: 15-24 years,15-24 years,19.7
1982,Male: 15-24 years,15-24 years,19.8
1983,Male: 15-24 years,15-24 years,19.2
1984,Male: 15-24 years,15-24 years,20.3
1985,Male: 15-24 years,15-24 years,21.0
1986,Male: 15-24 years,15-24 years,21.3
1987,Male: 15-24 years,15-24 years,20.8
1988,Male: 15-24 years,15-24 years,21.3
1989,Male: 15-24 years,15-24 years,21.5
1990,Male: 15-24 years,15-24 years,22.0
1991,Male: 15-24 years,15-24 years,21.8
1992,Male: 15-24 years,15-24 years,21.7
1993,Male: 15-24 years,15-24 years,22.1
1994,Male: 15-24 years,15-24 years,23.0
1995,Male: 15-24 years,15-24 years,22.0
1996,Male: 15-24 years,15-24 years,19.8
1997,Male: 15-24 years,15-24 years,18.6
1998,Male: 15-24 years,15-24 years,18.1
1999,Male: 15-24 years,15-24 years,16.8
2000,Male: 15-24 years,15-24 years,17.1
2001,Male: 15-24 years,15-24 years,16.5
2002,Male: 15-24 years,15-24 years,16.4
2003,Male: 15-24 years,15-24 years,15.9
2004,Male: 15-24 years,15-24 years,16.7
2005,Male: 15-24 years,15-24 years,16.1
2006,Male: 15-24 years,15-24 years,16.0
2007,Male: 15-24 years,15-24 years,15.7
2008,Male: 15-24 years,15-24 years,16.0
2009,Male: 15-24 years,15-24 years,16.1
2010,Male: 15-24 years,15-24 years,16.9
2011,Male: 15-24 years,15-24 years,17.6
2012,Male: 15-24 years,15-24 years,17.4
2013,Male: 15-24 years,15-24 years,17.3
2014,Male: 15-24 years,15-24 years,18.2
2015,Male: 15-24 years,15-24 years,19.4
2016,Male: 15-24 years,15-24 years,20.5
2017,Male: 15-24 years,15-24 years,22.7
2018,Male: 15-24 years,15-24 years,22.7
1950,Male: 15-19 years,15-19 years,3.5
1960,Male: 15-19 years,15-19 years,5.6
1970,Male: 15-19 years,15-19 years,8.8
1980,Male: 15-19 years,15-19 years,13.8
1981,Male: 15-19 years,15-19 years,13.5
1982,Male: 15-19 years,15-19 years,14.0
1983,Male: 15-19 years,15-19 years,13.9
1984,Male: 15-19 years,15-19 years,14.2
1985,Male: 15-19 years,15-19 years,15.8
1986,Male: 15-19 years,15-19 years,16.2
1987,Male: 15-19 years,15-19 years,16.0
1988,Male: 15-19 years,15-19 years,17.6
1989,Male: 15-19 years,15-19 years,17.6
1990,Male: 15-19 years,15-19 years,18.1
1991,Male: 15-19 years,15-19 years,17.9
1992,Male: 15-19 years,15-19 years,17.6
1993,Male: 15-19 years,15-19 years,17.4
1994,Male: 15-19 years,15-19 years,17.9
1995,Male: 15-19 years,15-19 years,17.1
1996,Male: 15-19 years,15-19 years,15.4
1997,Male: 15-19 years,15-19 years,14.9
1998,Male: 15-19 years,15-19 years,14.3
1999,Male: 15-19 years,15-19 years,13.0
2000,Male: 15-19 years,15-19 years,13.0
2001,Male: 15-19 years,15-19 years,12.8
2002,Male: 15-19 years,15-19 years,12.0
2003,Male: 15-19 years,15-19 years,11.4
2004,Male: 15-19 years,15-19 years,12.4
2005,Male: 15-19 years,15-19 years,11.8
2006,Male: 15-19 years,15-19 years,11.3
2007,Male: 15-19 years,15-19 years,10.8
2008,Male: 15-19 years,15-19 years,11.3
2009,Male: 15-19 years,15-19 years,11.6
2010,Male: 15-19 years,15-19 years,11.7
2011,Male: 15-19 years,15-19 years,12.9
2012,Male: 15-19 years,15-19 years,12.5
2013,Male: 15-19 years,15-19 years,12.4
2014,Male: 15-19 years,15-19 years,13.0
2015,Male: 15-19 years,15-19 years,14.2
2016,Male: 15-19 years,15-19 years,14.8
2017,Male: 15-19 years,15-19 years,17.9
2018,Male: 15-19 years,15-19 years,17.3
1950,Male: 20-24 years,20-24 years,9.3
1960,Male: 20-24 years,20-24 years,11.5
1970,Male: 20-24 years,20-24 years,19.3
1980,Male: 20-24 years,20-24 years,26.8
1981,Male: 20-24 years,20-24 years,25.7
1982,Male: 20-24 years,20-24 years,25.2
1983,Male: 20-24 years,20-24 years,24.0
1984,Male: 20-24 years,20-24 years,25.7
1985,Male: 20-24 years,20-24 years,25.7
1986,Male: 20-24 years,20-24 years,26.0
1987,Male: 20-24 years,20-24 years,25.3
1988,Male: 20-24 years,20-24 years,24.8
1989,Male: 20-24 years,20-24 years,25.2
1990,Male: 20-24 years,20-24 years,25.7
1991,Male: 20-24 years,20-24 years,25.4
1992,Male: 20-24 years,20-24 years,25.4
1993,Male: 20-24 years,20-24 years,26.5
1994,Male: 20-24 years,20-24 years,28.0
1995,Male: 20-24 years,20-24 years,27.0
1996,Male: 20-24 years,20-24 years,24.5
1997,Male: 20-24 years,20-24 years,22.7
1998,Male: 20-24 years,20-24 years,22.3
1999,Male: 20-24 years,20-24 years,20.8
2000,Male: 20-24 years,20-24 years,21.4
2001,Male: 20-24 years,20-24 years,20.5
2002,Male: 20-24 years,20-24 years,20.8
2003,Male: 20-24 years,20-24 years,20.6
2004,Male: 20-24 years,20-24 years,21.1
2005,Male: 20-24 years,20-24 years,20.4
2006,Male: 20-24 years,20-24 years,21.0
2007,Male: 20-24 years,20-24 years,20.9
2008,Male: 20-24 years,20-24 years,21.0
2009,Male: 20-24 years,20-24 years,20.8
2010,Male: 20-24 years,20-24 years,22.2
2011,Male: 20-24 years,20-24 years,22.3
2012,Male: 20-24 years,20-24 years,22.0
2013,Male: 20-24 years,20-24 years,21.9
2014,Male: 20-24 years,20-24 years,22.9
2015,Male: 20-24 years,20-24 years,24.2
2016,Male: 20-24 years,20-24 years,25.9
2017,Male: 20-24 years,20-24 years,27.2
2018,Male: 20-24 years,20-24 years,27.9
1950,Male: 25-44 years,25-44 years,17.2
1960,Male: 25-44 years,25-44 years,17.9
1970,Male: 25-44 years,25-44 years,20.9
1980,Male: 25-44 years,25-44 years,24.0
1981,Male: 25-44 years,25-44 years,24.5
1982,Male: 25-44 years,25-44 years,24.1
1983,Male: 25-44 years,25-44 years,23.8
1984,Male: 25-44 years,25-44 years,24.1
1985,Male: 25-44 years,25-44 years,23.7
1986,Male: 25-44 years,25-44 years,24.6
1987,Male: 25-44 years,25-44 years,24.2
1988,Male: 25-44 years,25-44 years,24.3
1989,Male: 25-44 years,25-44 years,23.8
1990,Male: 25-44 years,25-44 years,24.4
1991,Male: 25-44 years,25-44 years,23.9
1992,Male: 25-44 years,25-44 years,23.7
1993,Male: 25-44 years,25-44 years,24.1
1994,Male: 25-44 years,25-44 years,24.4
1995,Male: 25-44 years,25-44 years,24.4
1996,Male: 25-44 years,25-44 years,23.8
1997,Male: 25-44 years,25-44 years,23.2
1998,Male: 25-44 years,25-44 years,22.7
1999,Male: 25-44 years,25-44 years,21.6
2000,Male: 25-44 years,25-44 years,21.3
2001,Male: 25-44 years,25-44 years,22.2
2002,Male: 25-44 years,25-44 years,22.5
2003,Male: 25-44 years,25-44 years,22.3
2004,Male: 25-44 years,25-44 years,22.2
2005,Male: 25-44 years,25-44 years,22.1
2006,Male: 25-44 years,25-44 years,22.1
2007,Male: 25-44 years,25-44 years,22.9
2008,Male: 25-44 years,25-44 years,22.8
2009,Male: 25-44 years,25-44 years,23.0
2010,Male: 25-44 years,25-44 years,23.6
2011,Male: 25-44 years,25-44 years,24.0
2012,Male: 25-44 years,25-44 years,24.5
2013,Male: 25-44 years,25-44 years,24.1
2014,Male: 25-44 years,25-44 years,24.4
2015,Male: 25-44 years,25-44 years,25.2
2016,Male: 25-44 years,25-44 years,26.2
2017,Male: 25-44 years,25-44 years,27.5
2018,Male: 25-44 years,25-44 years,27.7
1950,Male: 25-34 years,25-34 years,13.4
1960,Male: 25-34 years,25-34 years,14.7
1970,Male: 25-34 years,25-34 years,19.8
1980,Male: 25-34 years,25-34 years,25.0
1981,Male: 25-34 years,25-34 years,25.4
1982,Male: 25-34 years,25-34 years,25.2
1983,Male: 25-34 years,25-34 years,25.1
1984,Male: 25-34 years,25-34 years,25.1
1985,Male: 25-34 years,25-34 years,24.7
1986,Male: 25-34 years,25-34 years,25.8
1987,Male: 25-34 years,25-34 years,25.1
1988,Male: 25-34 years,25-34 years,25.4
1989,Male: 25-34 years,25-34 years,24.7
1990,Male: 25-34 years,25-34 years,24.8
1991,Male: 25-34 years,25-34 years,24.8
1992,Male: 25-34 years,25-34 years,23.7
1993,Male: 25-34 years,25-34 years,24.4
1994,Male: 25-34 years,25-34 years,24.9
1995,Male: 25-34 years,25-34 years,24.8
1996,Male: 25-34 years,25-34 years,23.1
1997,Male: 25-34 years,25-34 years,22.5
1998,Male: 25-34 years,25-34 years,21.5
1999,Male: 25-34 years,25-34 years,20.7
2000,Male: 25-34 years,25-34 years,19.6
2001,Male: 25-34 years,25-34 years,21.1
2002,Male: 25-34 years,25-34 years,20.9
2003,Male: 25-34 years,25-34 years,21.1
2004,Male: 25-34 years,25-34 years,21.0
2005,Male: 25-34 years,25-34 years,20.6
2006,Male: 25-34 years,25-34 years,20.5
2007,Male: 25-34 years,25-34 years,21.5
2008,Male: 25-34 years,25-34 years,21.2
2009,Male: 25-34 years,25-34 years,21.0
2010,Male: 25-34 years,25-34 years,22.5
2011,Male: 25-34 years,25-34 years,23.1
2012,Male: 25-34 years,25-34 years,23.4
2013,Male: 25-34 years,25-34 years,23.4
2014,Male: 25-34 years,25-34 years,23.8
2015,Male: 25-34 years,25-34 years,24.7
2016,Male: 25-34 years,25-34 years,26.0
2017,Male: 25-34 years,25-34 years,27.6
2018,Male: 25-34 years,25-34 years,27.4
1950,Male: 35-44 years,35-44 years,21.3
1960,Male: 35-44 years,35-44 years,21.0
1970,Male: 35-44 years,35-44 years,22.1
1980,Male: 35-44 years,35-44 years,22.5
1981,Male: 35-44 years,35-44 years,23.2
1982,Male: 35-44 years,35-44 years,22.6
1983,Male: 35-44 years,35-44 years,22.0
1984,Male: 35-44 years,35-44 years,22.7
1985,Male: 35-44 years,35-44 years,22.3
1986,Male: 35-44 years,35-44 years,23.0
1987,Male: 35-44 years,35-44 years,23.0
1988,Male: 35-44 years,35-44 years,22.9
1989,Male: 35-44 years,35-44 years,22.8
1990,Male: 35-44 years,35-44 years,23.9
1991,Male: 35-44 years,35-44 years,23.0
1992,Male: 35-44 years,35-44 years,23.6
1993,Male: 35-44 years,35-44 years,23.9
1994,Male: 35-44 years,35-44 years,24.0
1995,Male: 35-44 years,35-44 years,24.0
1996,Male: 35-44 years,35-44 years,24.5
1997,Male: 35-44 years,35-44 years,23.8
1998,Male: 35-44 years,35-44 years,23.8
1999,Male: 35-44 years,35-44 years,22.4
2000,Male: 35-44 years,35-44 years,22.8
2001,Male: 35-44 years,35-44 years,23.1
2002,Male: 35-44 years,35-44 years,23.9
2003,Male: 35-44 years,35-44 years,23.4
2004,Male: 35-44 years,35-44 years,23.3
2005,Male: 35-44 years,35-44 years,23.4
2006,Male: 35-44 years,35-44 years,23.5
2007,Male: 35-44 years,35-44 years,24.2
2008,Male: 35-44 years,35-44 years,24.4
2009,Male: 35-44 years,35-44 years,24.9
2010,Male: 35-44 years,35-44 years,24.6
2011,Male: 35-44 years,35-44 years,24.9
2012,Male: 35-44 years,35-44 years,25.7
2013,Male: 35-44 years,35-44 years,24.8
2014,Male: 35-44 years,35-44 years,25.0
2015,Male: 35-44 years,35-44 years,25.9
2016,Male: 35-44 years,35-44 years,26.3
2017,Male: 35-44 years,35-44 years,27.5
2018,Male: 35-44 years,35-44 years,28.1
1950,Male: 45-64 years,45-64 years,37.1
1960,Male: 45-64 years,45-64 years,34.4
1970,Male: 45-64 years,45-64 years,30.0
1980,Male: 45-64 years,45-64 years,23.7
1981,Male: 45-64 years,45-64 years,23.7
1982,Male: 45-64 years,45-64 years,25.1
1983,Male: 45-64 years,45-64 years,24.9
1984,Male: 45-64 years,45-64 years,25.5
1985,Male: 45-64 years,45-64 years,25.3
1986,Male: 45-64 years,45-64 years,25.7
1987,Male: 45-64 years,45-64 years,25.4
1988,Male: 45-64 years,45-64 years,23.5
1989,Male: 45-64 years,45-64 years,23.7
1990,Male: 45-64 years,45-64 years,24.3
1991,Male: 45-64 years,45-64 years,24.4
1992,Male: 45-64 years,45-64 years,23.0
1993,Male: 45-64 years,45-64 years,22.8
1994,Male: 45-64 years,45-64 years,21.9
1995,Male: 45-64 years,45-64 years,22.2
1996,Male: 45-64 years,45-64 years,22.7
1997,Male: 45-64 years,45-64 years,22.1
1998,Male: 45-64 years,45-64 years,21.9
1999,Male: 45-64 years,45-64 years,20.8
2000,Male: 45-64 years,45-64 years,21.3
2001,Male: 45-64 years,45-64 years,22.5
2002,Male: 45-64 years,45-64 years,23.5
2003,Male: 45-64 years,45-64 years,23.5
2004,Male: 45-64 years,45-64 years,23.6
2005,Male: 45-64 years,45-64 years,23.9
2006,Male: 45-64 years,45-64 years,24.6
2007,Male: 45-64 years,45-64 years,25.7
2008,Male: 45-64 years,45-64 years,27.4
2009,Male: 45-64 years,45-64 years,27.9
2010,Male: 45-64 years,45-64 years,29.2
2011,Male: 45-64 years,45-64 years,28.9
2012,Male: 45-64 years,45-64 years,29.5
2013,Male: 45-64 years,45-64 years,29.0
2014,Male: 45-64 years,45-64 years,29.7
2015,Male: 45-64 years,45-64 years,29.5
2016,Male: 45-64 years,45-64 years,29.1
2017,Male: 45-64 years,45-64 years,30.1
2018,Male: 45-64 years,45-64 years,31.0
1950,Male: 45-54 years,45-54 years,32.0
1960,Male: 45-54 years,45-54 years,31.6
1970,Male: 45-54 years,45-54 years,27.9
1980,Male: 45-54 years,45-54 years,22.9
1981,Male: 45-54 years,45-54 years,22.5
1982,Male: 45-54 years,45-54 years,24.1
1983,Male: 45-54 years,45-54 years,23.9
1984,Male: 45-54 years,45-54 years,23.7
1985,Male: 45-54 years,45-54 years,23.6
1986,Male: 45-54 years,45-54 years,24.6
1987,Male: 45-54 years,45-54 years,23.9
1988,Male: 45-54 years,45-54 years,21.9
1989,Male: 45-54 years,45-54 years,22.6
1990,Male: 45-54 years,45-54 years,23.2
1991,Male: 45-54 years,45-54 years,23.6
1992,Male: 45-54 years,45-54 years,22.3
1993,Male: 45-54 years,45-54 years,22.2
1994,Male: 45-54 years,45-54 years,21.9
1995,Male: 45-54 years,45-54 years,22.5
1996,Male: 45-54 years,45-54 years,22.9
1997,Male: 45-54 years,45-54 years,22.1
1998,Male: 45-54 years,45-54 years,22.6
1999,Male: 45-54 years,45-54 years,21.5
2000,Male: 45-54 years,45-54 years,22.4
2001,Male: 45-54 years,45-54 years,23.3
2002,Male: 45-54 years,45-54 years,24.4
2003,Male: 45-54 years,45-54 years,24.4
2004,Male: 45-54 years,45-54 years,24.8
2005,Male: 45-54 years,45-54 years,25.2
2006,Male: 45-54 years,45-54 years,26.2
2007,Male: 45-54 years,45-54 years,27.0
2008,Male: 45-54 years,45-54 years,28.6
2009,Male: 45-54 years,45-54 years,29.3
2010,Male: 45-54 years,45-54 years,30.4
2011,Male: 45-54 years,45-54 years,30.1
2012,Male: 45-54 years,45-54 years,30.2
2013,Male: 45-54 years,45-54 years,29.6
2014,Male: 45-54 years,45-54 years,30.0
2015,Male: 45-54 years,45-54 years,30.1
2016,Male: 45-54 years,45-54 years,29.4
2017,Male: 45-54 years,45-54 years,30.3
2018,Male: 45-54 years,45-54 years,30.2
1950,Male: 55-64 years,55-64 years,43.6
1960,Male: 55-64 years,55-64 years,38.1
1970,Male: 55-64 years,55-64 years,32.7
1980,Male: 55-64 years,55-64 years,24.5
1981,Male: 55-64 years,55-64 years,25.0
1982,Male: 55-64 years,55-64 years,26.3
1983,Male: 55-64 years,55-64 years,25.9
1984,Male: 55-64 years,55-64 years,27.4
1985,Male: 55-64 years,55-64 years,27.1
1986,Male: 55-64 years,55-64 years,27.0
1987,Male: 55-64 years,55-64 years,27.0
1988,Male: 55-64 years,55-64 years,25.5
1989,Male: 55-64 years,55-64 years,25.1
1990,Male: 55-64 years,55-64 years,25.7
1991,Male: 55-64 years,55-64 years,25.3
1992,Male: 55-64 years,55-64 years,24.0
1993,Male: 55-64 years,55-64 years,23.7
1994,Male: 55-64 years,55-64 years,21.8
1995,Male: 55-64 years,55-64 years,21.8
1996,Male: 55-64 years,55-64 years,22.4
1997,Male: 55-64 years,55-64 years,22.1
1998,Male: 55-64 years,55-64 years,20.9
1999,Male: 55-64 years,55-64 years,19.8
2000,Male: 55-64 years,55-64 years,19.4
2001,Male: 55-64 years,55-64 years,21.2
2002,Male: 55-64 years,55-64 years,22.1
2003,Male: 55-64 years,55-64 years,22.1
2004,Male: 55-64 years,55-64 years,21.9
2005,Male: 55-64 years,55-64 years,22.0
2006,Male: 55-64 years,55-64 years,22.5
2007,Male: 55-64 years,55-64 years,23.9
2008,Male: 55-64 years,55-64 years,25.8
2009,Male: 55-64 years,55-64 years,26.1
2010,Male: 55-64 years,55-64 years,27.7
2011,Male: 55-64 years,55-64 years,27.3
2012,Male: 55-64 years,55-64 years,28.7
2013,Male: 55-64 years,55-64 years,28.3
2014,Male: 55-64 years,55-64 years,29.4
2015,Male: 55-64 years,55-64 years,28.9
2016,Male: 55-64 years,55-64 years,28.7
2017,Male: 55-64 years,55-64 years,29.8
2018,Male: 55-64 years,55-64 years,31.7
1950,Male: 65 years and over,65 years and over,52.8
1960,Male: 65 years and over,65 years and over,44.0
1970,Male: 65 years and over,65 years and over,38.4
1980,Male: 65 years and over,65 years and over,35.0
1981,Male: 65 years and over,65 years and over,33.5
1982,Male: 65 years and over,65 years and over,36.5
1983,Male: 65 years and over,65 years and over,38.1
1984,Male: 65 years and over,65 years and over,39.3
1985,Male: 65 years and over,65 years and over,40.9
1986,Male: 65 years and over,65 years and over,43.4
1987,Male: 65 years and over,65 years and over,44.2
1988,Male: 65 years and over,65 years and over,42.7
1989,Male: 65 years and over,65 years and over,41.7
1990,Male: 65 years and over,65 years and over,41.6
1991,Male: 65 years and over,65 years and over,40.1
1992,Male: 65 years and over,65 years and over,38.3
1993,Male: 65 years and over,65 years and over,38.1
1994,Male: 65 years and over,65 years and over,36.5
1995,Male: 65 years and over,65 years and over,36.2
1996,Male: 65 years and over,65 years and over,35.1
1997,Male: 65 years and over,65 years and over,33.8
1998,Male: 65 years and over,65 years and over,34.2
1999,Male: 65 years and over,65 years and over,32.2
2000,Male: 65 years and over,65 years and over,31.1
2001,Male: 65 years and over,65 years and over,31.4
2002,Male: 65 years and over,65 years and over,31.8
2003,Male: 65 years and over,65 years and over,29.7
2004,Male: 65 years and over,65 years and over,29.0
2005,Male: 65 years and over,65 years and over,29.5
2006,Male: 65 years and over,65 years and over,28.4
2007,Male: 65 years and over,65 years and over,28.4
2008,Male: 65 years and over,65 years and over,29.2
2009,Male: 65 years and over,65 years and over,29.1
2010,Male: 65 years and over,65 years and over,29.0
2011,Male: 65 years and over,65 years and over,29.4
2012,Male: 65 years and over,65 years and over,29.5
2013,Male: 65 years and over,65 years and over,30.9
2014,Male: 65 years and over,65 years and over,31.4
2015,Male: 65 years and over,65 years and over,31.0
2016,Male: 65 years and over,65 years and over,31.0
2017,Male: 65 years and over,65 years and over,31.4
2018,Male: 65 years and over,65 years and over,32.5
1950,Male: 65-74 years,65-74 years,50.5
1960,Male: 65-74 years,65-74 years,39.6
1970,Male: 65-74 years,65-74 years,36.0
1980,Male: 65-74 years,65-74 years,30.4
1981,Male: 65-74 years,65-74 years,28.4
1982,Male: 65-74 years,65-74 years,31.2
1983,Male: 65-74 years,65-74 years,31.5
1984,Male: 65-74 years,65-74 years,33.9
1985,Male: 65-74 years,65-74 years,33.9
1986,Male: 65-74 years,65-74 years,36.3
1987,Male: 65-74 years,65-74 years,35.8
1988,Male: 65-74 years,65-74 years,34.0
1989,Male: 65-74 years,65-74 years,34.2
1990,Male: 65-74 years,65-74 years,32.2
1991,Male: 65-74 years,65-74 years,30.7
1992,Male: 65-74 years,65-74 years,29.9
1993,Male: 65-74 years,65-74 years,29.3
1994,Male: 65-74 years,65-74 years,27.6
1995,Male: 65-74 years,65-74 years,28.5
1996,Male: 65-74 years,65-74 years,27.5
1997,Male: 65-74 years,65-74 years,26.1
1998,Male: 65-74 years,65-74 years,25.9
1999,Male: 65-74 years,65-74 years,24.7
2000,Male: 65-74 years,65-74 years,22.7
2001,Male: 65-74 years,65-74 years,24.5
2002,Male: 65-74 years,65-74 years,24.5
2003,Male: 65-74 years,65-74 years,23.1
2004,Male: 65-74 years,65-74 years,22.2
2005,Male: 65-74 years,65-74 years,22.3
2006,Male: 65-74 years,65-74 years,22.2
2007,Male: 65-74 years,65-74 years,22.0
2008,Male: 65-74 years,65-74 years,24.3
2009,Male: 65-74 years,65-74 years,24.3
2010,Male: 65-74 years,65-74 years,23.9
2011,Male: 65-74 years,65-74 years,24.4
2012,Male: 65-74 years,65-74 years,24.1
2013,Male: 65-74 years,65-74 years,26.0
2014,Male: 65-74 years,65-74 years,26.6
2015,Male: 65-74 years,65-74 years,26.2
2016,Male: 65-74 years,65-74 years,25.9
2017,Male: 65-74 years,65-74 years,26.2
2018,Male: 65-74 years,65-74 years,27.8
1950,Male: 75-84 years,75-84 years,58.3
1960,Male: 75-84 years,75-84 years,52.5
1970,Male: 75-84 years,75-84 years,42.8
1980,Male: 75-84 years,75-84 years,42.3
1981,Male: 75-84 years,75-84 years,41.4
1982,Male: 75-84 years,75-84 years,45.3
1983,Male: 75-84 years,75-84 years,49.2
1984,Male: 75-84 years,75-84 years,48.5
1985,Male: 75-84 years,75-84 years,53.1
1986,Male: 75-84 years,75-84 years,54.9
1987,Male: 75-84 years,75-84 years,57.2
1988,Male: 75-84 years,75-84 years,57.3
1989,Male: 75-84 years,75-84 years,51.5
1990,Male: 75-84 years,75-84 years,56.1
1991,Male: 75-84 years,75-84 years,53.0
1992,Male: 75-84 years,75-84 years,50.1
1993,Male: 75-84 years,75-84 years,49.0
1994,Male: 75-84 years,75-84 years,47.1
1995,Male: 75-84 years,75-84 years,44.9
1996,Male: 75-84 years,75-84 years,43.5
1997,Male: 75-84 years,75-84 years,41.1
1998,Male: 75-84 years,75-84 years,42.5
